author,image,name,price
Future Press,"https://images-na.ssl-images-amazon.com/images/I/61cIdzclx-L._AC_UL302_SR302,200_.jpg","Elden Ring Official Strategy Guide, Vol. 1: The Lands Between",$29.99
Future Press,"https://images-na.ssl-images-amazon.com/images/I/61MDkhe19uL._AC_UL302_SR302,200_.jpg","Elden Ring Official Strategy Guide, Vol. 2: Shards of the Shattering",$29.99
Tony Fadell,"https://images-na.ssl-images-amazon.com/images/I/71BG9PNQGXL._AC_UL302_SR302,200_.jpg",Build: An Unorthodox Guide to Making Things Worth Making,$26.94
Tiago Forte,"https://images-na.ssl-images-amazon.com/images/I/71qiF6O+4zL._AC_UL302_SR302,200_.jpg",Building a Second Brain: A Proven Method to Organize Your Digital Life and Unlock Your Creative Potential,$14.88
Tiago Forte,"https://images-na.ssl-images-amazon.com/images/I/61Txn6zWm1L._AC_UL302_SR302,200_.jpg",Building a Second Brain: A Proven Method to Organize Your Digital Life and Unlock Your Creative Potential,$17.11
Robert T Kiyosaki,"https://images-na.ssl-images-amazon.com/images/I/81JaxDQ2k6L._AC_UL302_SR302,200_.jpg",Capitalist Manifesto,$19.95
Claude Taylor,"https://images-na.ssl-images-amazon.com/images/I/81fvIRLxNwL._AC_UL302_SR302,200_.jpg",How to Zoom Your Room: Room Rater's Ultimate Style Guide,$18.52
Chip Huyen,"https://images-na.ssl-images-amazon.com/images/I/81aSHEzSB1L._AC_UL302_SR302,200_.jpg",Designing Machine Learning Systems: An Iterative Process for Production-Ready Applications,$35.51
Matthew Ball,"https://images-na.ssl-images-amazon.com/images/I/71mvYyGfYyL._AC_UL302_SR302,200_.jpg",The Metaverse: And How it Will Revolutionize Everything,$24.99
Robert Marks,"https://images-na.ssl-images-amazon.com/images/I/814YL3al37L._AC_UL302_SR302,200_.jpg",Non-Computable You: What You Do That Artificial Intelligence Never Will,$9.99
Robert J. Marks II,"https://images-na.ssl-images-amazon.com/images/I/618LPUMmQ9L._AC_UL302_SR302,200_.jpg",Non-Computable You: What You Do That Artificial Intelligence Never Will,$22.95
Future Press,"https://images-na.ssl-images-amazon.com/images/I/71Cfiwqw-yL._AC_UL302_SR302,200_.jpg",Horizon Forbidden West Official Strategy Guide,$44.99
Derral Eves,"https://images-na.ssl-images-amazon.com/images/I/814fIzfSYLL._AC_UL302_SR302,200_.jpg","The YouTube Formula: How Anyone Can Unlock the Algorithm to Drive Views, Build an Audience, and Grow Revenue",$15.30
Bo Seo,"https://images-na.ssl-images-amazon.com/images/I/71BS1qDvLTL._AC_UL302_SR302,200_.jpg",Good Arguments: How Debate Teaches Us to Listen and Be Heard,$18.04
Simon Chan,"https://images-na.ssl-images-amazon.com/images/I/51IMJCibUuL._AC_UL302_SR302,200_.jpg",The Consistency Pill: The 7 Step System to Increase Sales and Transform Your Business,$12.95
Oliver Solis,"https://images-na.ssl-images-amazon.com/images/I/71Ik8XP3D8L._AC_UL302_SR302,200_.jpg",Excel 2022: The most comprehensive handbook with step-by-step pictures for mastering Microsoft Excel in less than 5 minutes a day.,$14.76
James Holler,"https://images-na.ssl-images-amazon.com/images/I/615A5UrxHsL._AC_UL302_SR302,200_.jpg","Microsoft Office 365 for Beginners 2022: [8 in 1] The Most Updated All-in-One Guide from Beginner to Advanced | Including Excel, Word, PowerPoint, OneNote, OneDrive, Outlook, Teams and Access",$25.17
Anita Sarna,"https://images-na.ssl-images-amazon.com/images/I/91RhmZqC8WL._AC_UL302_SR302,200_.jpg","The Witcher Official Cookbook: Provisions, Fare, and Culinary Tales from Travels Across the Continent",$29.99
