Name,PhysicalAddress,PostalAddress,Email,Phone,Administration Manager,Principal,Location,Directorate
Batchelor Area School,"71 Kirra Cres, Batchelor, 0845, NT","c/-, Batchelor Post Office, 0845, NT",batchelor.as@education.nt.gov.au,(08) 8976 0077,Carolyn Bilston,Neil Gibson,"131.033019,-13.046103",North 
Anula Primary School,"73 Yanyula Dr, Anula, 0812, NT","Yanyula Drive, ANULA, 0812, NT",anula.admin@education.nt.gov.au,(08) 899 77500,Kylie Robinson,Melinda Kealy,"130.89369,-12.39162",North 
Angurugu School,"N/A, Angurugu, NT","PO Box 40, Alyangula, Groote Eylandt, 0885, NT",admin.angurcec@education.nt.gov.au,(08) 8987 6355,Kaye Hood,Yasmin Steel,"136.45933,-13.98253",North
Australian International Islamic College,"25 Bowerlee Road, Berrimah NT 0828, NT","25 Bowerlee Road, Berrimah, 0828, NT",nt.admin@aiic.nt.edu.au,n/a,,Andrew Taylor,"130.91780,-12.41755",n/a
Areyonga School,"wsw of Hermannsburg, 224km from Alice Springs, Areyonga, NT","Areyonga, via Alice Springs, 0872, NT",areyonga.school@education.nt.gov.au,(08) 8956 7303,Therese Townsend,Toby Brown,"132.27011,-24.0737",Central Australia
Barunga School,"N/A, Barunga  (Bamyili), NT","PMB 117, via Katherine, 0851, NT",office.barunga@education.nt.gov.au,(08) 8975 4502,Katrin Woolgar,Malcolm Hales,"132.86603,-14.52456",North
Ampilatwatja School,"N/A, Ampilatwatja (Ammaroo), NT",", PMB 84, Alice Springs, 0872, NT",ann.adams@education.nt.gov.au,(08) 8956 9265,Therese Townsend,Ann Adams,"135.22478,-21.65369",Central Australia
Amanbidji School,"N/A, Amanbidgi (Kildirk), NT","PMB 16, via Katherine, 0851, NT",Carolyn.tucker@education.nt.gov.au,(08) 9168 7380,Keely Wallace,Carolyn Tucker,"129.617986,-16.427522",North
Alyarrmandumanja Umbakumba School,"N/A, Umbakumba, NT","PO Box 698, Alyangula, 0885, NT",admin.umbakumba@education.nt.gov.au,(08) 8987 6793,Donna Cartwright,David Oke,"136.81193,-13.85975",North
Amoonguna School,"N/A, Amoonguna, NT","PO Box  2529,, Alice Springs, 0871, NT",cherie.gibbens@education.nt.gov.au,(08) 8952 3402,Stephen Go,Cherie Gibbens,"133.938539,-23.767906",Central Australia
Alyangula Area School,"Cnr Flinders St & Ayawarra Cr, Alyangula, NT","PMB 3, Alyangula, Groote Eylandt, 0885, NT",alyangula.admin@education.nt.gov.au,(08) 8987 6366,,Bert Beekhuizen,"136.42011,-13.84964",North
Zuccoli Primary School,"130 Zuccoli Parade, Zuccoli, 0830, NT","PO Box 2222, PALMERSTON, 0832, NT",ZuccoliPrimary@ntschools.net,(08) 792 30222,,Carolyn Edwards,"tba,tba",North
Alpurrurulam School,"N/A, Alpurrurulam (Lake Nash), NT","PMB 46, Mt Isa, 4825, QLD",gavin.khan@education.nt.gov.au,(07) 4748 4887,Maree Hayes,Gavin Khan,"137.84839,-20.98775",Central Australia
Yulara School,"21 Winmati St, Yulara, 0872, NT","PO Box 146, Yulara, 0872, NT",yulara.school@education.nt.gov.au,(08) 8956 2014,,Catherine Ashton,"130.98364,-25.23514",Central Australia
Yuendumu School,"Conniston Rd, Yuendumu, NT","C/ - Post Office, Yuendumu, 0870, NT",finance.yuendumu@education.nt.gov.au,(08) 8956 4011,Go Stephen,Kim Omar,"131.769889,-22.25565",Central Australia
Yipirinya School,"Lovegrove Dr, Alice Springs, NT","C/- Yipirinya School Council Inc, PO Box 2363, Alice Springs, 0871, NT",yipirinya@yipirinya.com.au,(08) 8952 5633,,Gavin Morris,"133.8581,-23.69766",Alice Springs
Baniyala Garrangali School,"Yilpara Community, Yirrkala, 0880, NT","PO Box 1496, NHULUNBUY, 0881, NT",kirsten.morey@education.nt.gov.au,(08) 8987 9114,Donna Cartwright,Kirsten Morey,"136.2261,-13.2004",North 
Arlparra School,", Arlparra Community, Utopia, NT","PMB 18, via ALICE SPRINGS, 0872, NT",stephen.nimmo@education.nt.gov.au,(08) 8956 9178,Di Dowling,Stephen Nimmo,"134.771859,-22.084073",Central Australia
Yirrkala School,"Rankine Road, Yirrkala, NT","PO Box 896, Nhulunbuy, 0881, NT",admin.yirrkala@ntschools.net,(08) 898 71988,,,"136.89452,-12.25189",North
Bakewell Primary School,"1 Forrest Parade, Bakewell, 0832, NT","PO Box 1300, PALMERSTON, 0831, NT",admin.bakewell@education.nt.gov.au,(08) 899 77400,,,"130.99373,-12.49362",North 
Yirara College,"470 South Stuart Highway, Alice Springs, NT","PMB 51, Alice Springs, 0871, NT",info@yirara.nt.edu.au,(08) 8950 5644,,Chris England,"133.868978,-23.762231",Alice Springs
Yarralin School,"N/A, Yarralin, NT","PMB 34, via Katherine, 0851, NT",zoe.richardson@education.nt.gov.au,(08) 8975 0809,Keely Wallace,Zoe Richardson,"130.88179,-16.44684",North
Woodroffe Primary School,"55 Woodroffe Ave, Woodroffe, 0830, NT","PO Box 2021, PALMERSTON, 0831, NT",woodroffe.ps@education.nt.gov.au,(08) 898 37600,Sharon Challen,Miranda Watt,"130.98241,-12.50617",North
Wulagi Primary School,"24 Brolga St, Wulagi, 0812, NT","24 Brolga St, WULAGI, 0812, NT",wulagi.primary@education.nt.gov.au,(08) 898 37800,,Ramon Dixon,"130.89537,-12.38335",North
Wugularr School,"Laiwanga St, Wugularr, NT","PMB 6, Katherine, 0851, NT",admin.wugulsch@education.nt.gov.au,(08) 8975 4529,Katrin Woolgar,Stephen Hill,"133.118,-14.5614",North
Woolaning School,"Litchfield Park Rd, Litchfield Park, NT","PO Box 3261, Palmerston, 0831, NT",admin.woolasch@education.nt.gov.au,(08) 8978 2334,Geraldine Hogarth,Cheryl Glasgow,"130.654431,-13.098819",North
Woolianna School,"Wooliana Rd, Daly River, NT","PMB 194, Winnellie, 0821, NT",woolianna.school@education.nt.gov.au,(08) 8978 2984,Donna Cartwright,Sarah Rowe,"130.681,-13.7109",North
Willowra School,"N/A, Willowra, NT","PMB 102, via Alice Springs, 0872, NT",willowra.school@education.nt.gov.au,(08) 8956 8408,Bob Babu,Barb Wilson,"132.616106,-21.244506",Central Australia
Watiyawanu School,"N/A, Mt Liebig, NT","PMB 111, via Alice Springs, 0872, NT",l.kenny@education.nt.gov.au,(08) 8956 8555,Alexa Sutton,Larry Kenny,"131.274489,-23.266169",Central Australia
Walungurru School,"N/A, Walungurru (Kintore), NT","PMB 14, via Alice Springs, 0872, NT",walungurru.school@education.nt.gov.au,(08)  8964 6056,Alexa Sutton,Darren Brampton,"129.38771,-23.27712",Central Australia
Warruwi School,"N/A, Warruwi (Goulburn Island), 0822, NT","PMB 90, via WINNELLIE, 0821, NT",samuel.robinson@education.nt.gov.au,(08) 8979 0222,Kylie Davis,Samuel Robinson,"133.38947,-11.64742",North
Wanguri Primary School,"46 Gsell St, Wanguri, 0810, NT","PO Box 40519, CASUARINA, 0811, NT",wanguri.prim@education.nt.gov.au,(08) 8927 1655,Robyn Nowland,Tim Morgan,"130.88711,-12.37129",North
Wallace Rockhole School,"N/A, Wallace Rockhole, NT","PO Box 2256, Alice Springs, 0871, NT",wallace.rockhole@education.nt.gov.au,(08) 8956 7330,Gesheila Cortez,Maryse Turenne,"133.085237,-24.1233",Central Australia
Watarrka School,"n/a, Lilla Community, NT","Education Stores, Shed 9, 66A Smith St, Alice Springs, 0870, NT",tba,(08) 8956 7758,Rowan Churches,tba tba,"132.3747,-24.30093",Central Australia
Wagaman Primary School,"35 Wagaman Tce, Wagaman, 0810, NT","PO Box 40019, CASUARINA, 0811, NT",wagaman.school@education.nt.gov.au,(08) 8922 6011,Darnette Navidad,Mandy McKinnon,"130.88474,-12.37957",North
Urapunga School,"Blyth St, Rittarangu (Urapunga), NT","PMB 12, via Katherine, 0852, NT",craig.watkins@education.nt.gov.au,(08) 8975 4645,Kelsey Yanong,Craig Watkins,"134.564289,-14.710481",North
Titjikala School,"N/A, Titjikala (Maryvale), NT","PMB 130, via Alice Springs, 0872, NT",joanne.wickham@education.nt.gov.au,(08) 8956 0927,Lufen Cowham,Joanne Wickham,"134.07331,-24.67244",Central Australia
Timber Creek School,"62 Wilson St, Timber Creek, NT","PMB 115, via Katherine, 0851, NT",timbercreek.admin@education.nt.gov.au,(08) 8975 0714,Keely Wallace,Merryn Curley,"130.46513,-15.6481",North
Top End School of Flexible Learning,"1 Malak Place, Malak, 0812, NT","PO Box 703, Karama, 0812, NT",malakrc.det@education.nt.gov.au,(08) 899 77199,,,"130.9034569,-12.3959475",North
Tiwi College,"Pickertaramoor Melville Island, , NT","LMB 127, Winnellie, 0822, NT",tiwi.college@ntschools.net,08 89709024,,Thelma Parker,"130.88972,-11.76667",Non Government
Tipperary Station School,"Daly River Road, Tipperary, NT","PMB 214, via Winnellie, 0822, NT",rosemary.sullivan@education.nt.gov.au,(08) 8978 2765,Carmel Pedersen,Rosemary Sullivan,"131.04168,-13.73335",North
Ti Tree School,"26 Palmer St, Ti-Tree, NT","Locked Bag 257,, Ti Tree, via Alice Springs, 0872, NT",ciaran.bailie@education.nt.gov.au,(08) 8956 9743,Bob Babu,Ciaran Baillie,"133.41976,-22.12793",Central Australia
